ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = bahu[ka] hi [doṣa samajasa Devanaṃpriye] Priyadraśi raja [da]kha[ti],,,,,,,,,,,,,
1,bahuka,bahu,DET,_,Case=Acc|Gender=Masc|Number=Sing,3,det,_,Orig=bahu[ka],much:ᴀᴄᴄ.ᴍ.sɢ,bahuka-,9187,link
2,hi,hi,PART,_,_,1,advmod:emph,_,,=for,hí,,_
3,doṣa,doṣa,NOUN,_,Case=Acc|Gender=Masc|Number=Sing,10,obj,_,Orig=[doṣa],evil:ᴀᴄᴄ.ᴍ.sɢ,dōṣa-,6587,link
4,samajasa,samaja,NOUN,_,Case=Gen|Gender=Masc|Number=Sing,10,obl,_,Orig=[samajasa],festival_meeting:ɢᴇɴ.ᴍ.sɢ,samāja-,13207,link
5-6,Devanaṃpriye,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɴᴏᴍ.ᴍ.sɢ,_,_,_
5,devanaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,6,nmod,_,Orig=[devanaṃ],_,dēvá-,6523,link
6,priye,priya,ADJ,_,Case=Nom|Gender=Masc|Number=Sing,9,nmod:desc,_,Orig=[priye],_,priyá-,8974,link
7-8,Priyadraśi,_,_,_,_,_,_,_,,friendly_looking:ɴᴏᴍ.ᴍ.sɢ,_,_,_
7,priya ,priya,ADJ,_,Compound=Yes|Gender=Masc,8,amod,_,,_,priyá-,8974,link
8,draśi,draśin,ADJ,_,Case=Nom|Gender=Masc|Number=Sing,9,nmod:desc,_,,_,darśin-,,_
9,raja,rajan,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,10,nsubj,_,,king:ɴᴏᴍ.ᴍ.sɢ,rā́jan-,10679,link
10,dakhati,dakha,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbFrom=Fin|Voice=Act,0,root,_,Orig=[da]kha[ti],see:ᴘʀs.ᴀᴄᴛ.3sɢ,*dr̩kṣati,6507,link
,,,,,,,,,,,,,
text = asti[pi cu] / [eka]tiya samaja sa[dhu]-mata Devanapriyasa Priyadraśi[sa] rajine,,,,,,,,,,,,,
1,asti,as,VERB,_,Mood=Ind|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,_,,be:ᴘʀs.3sɢ,ásti,977,link
2,pi,pi,ADV,_,_,1,advmod:emph,_,Orig=[pi],=ᴇᴍᴘʜ,ápi,485,link
3,cu,cu,CCONJ,_,_,1,cc,_,Orig=[cu],=but,tú+ca,,_
4,ekatiya,ekatiya,DET,_,PronType=Ind,5,det,_,Orig=[eka]tiya,some:ɴᴏᴍ.ᴍ.ᴘʟ,,,_
5,samaja,samaja,NOUN,_,Case=Nom|Gender=Masc|Number=Plur,1,obj,_,,meeting:ɴᴏᴍ.ᴍ.ᴘʟ,samāja-,13207,link
6-7,sadhu-mata,_,_,_,_,_,,_,_,meritorious_considered:ɴᴏᴍ.ᴍ.ᴘʟ,_,_,_
6,sadhu,sadhu,ADV,_,AdvType=Man,7,advmod,_,sa[dhu],_,sādhú,13337,link
7,mata,maña,VERB,_,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,5,acl,_,mata,_,mányatē,9857,link
8-9,Devanapriyasa,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɢᴇɴ.ᴍ.sɢ,_,_,_
8,devana ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,9,nmod,_,,_,dēvá-,6523,link
9,priyasa,priya,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,12,nmod:desc,_,,_,priyá-,8974,link
10-11,Priyadraśisa,_,_,_,_,_,_,_,_,friendly_looking:ɢᴇɴ.ᴍ.sɢ,_,_,_
10,priya,priya,ADJ,_,Compound=Yes|Gender=Masc,11,amod,_,,_,priyá-,8974,link
11,draśisa,draśin,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,12,nmod:desc,_,Orig=draśi[sa],_,darśin-,,_
12,rajine,rajan,NOUN,_,Case=Gen|Gender=Masc|Number=Sing,7,nsubj,_,,king:ɢᴇɴ.ᴍ.sɢ,rā́jan-,10679,link
,,,,,,,,,,,,,
text = pura maha[nasa]si [Devana]pri[ya]sa Pri[yadra]śisa ra[/]jine anudiva[sa ba]huni praṇa-śa[ta]-sahas[r]ani [arabh]isu supa[thra]ye,,,,,,,,,,,,,
1,pura,pura,ADV,_,AdvType=Tim,14,advmod,_,,formerly,purás-,8281,link
2,mahanasasi,mahanasa,NOUN,_,Case=Loc|Gender=Neut|Number=Sing,14,obl,_,Orig=maha[nasa]si,kitchen:ʟᴏᴄ.ɴ.sɢ,mahānasá-,9943,link
3-4,Devanapriyasa,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɢᴇɴ.ᴍ.sɢ,_,_,_
3,devana,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,4,nmod,_,,_,dēvá-,6523,link
4,priyasa,priya,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,7,nmod:desc,_,,_,priyá-,8974,link
5-6,Priyadraśisa,_,_,_,_,_,_,_,_,friendly_looking:ɢᴇɴ.ᴍ.sɢ,_,_,_
5,priya ,priya,ADJ,_,Compound=Yes|Gender=Masc,6,amod,_,Orig=pri[ya],_,priyá-,8974,link
6,draśisa,draśin,ADJ,_,Case=Gen|Gender=Masc|Number=Sing,7,nmod:desc,_,Orig=[dra]śisa,_,darśin-,,_
7,rajine,rajan,NOUN,_,Case=Gen|Gender=Masc|Number=Sing,2,nmod,_,,king:ɢᴇɴ.ᴍ.sɢ,rā́jan-,10679,link
8-9,anudivasa,_,_,_,_,_,_,_,_,_,,,_
8,anu ,anu,DET,_,PronType=Tot,9,det,_,,every,ánu-,,_
9,divasa,divasa,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,14,obl,_,Orig=diva[sa],day:ɴᴏᴍ.ɴ.sɢ,divasá-,6333,link
10,bahuni,bahu,ADJ,_,Case=Acc|Gender=Neut|Number=Sing,13,amod,_,Orig=[ba]huni,many:ɴᴏᴍ.ɴ.ᴘʟ,bahú-,9187,link
11-13,praṇa-śata-sahasrani,_,_,_,Case=Acc|Gender=Neut|Number=Sing,_,_,_,_,hundred_thousands_of_living_being:ɴᴏᴍ.ɴ.ᴘʟ,_,_,_
11,praṇa,praṇa,NOUN,_,Compound=Yes|Gender=Masc,12,compound,_,,_,prāṇá-,8928,link
12,śata,śata,NOUN,_,Compound=Yes|Gender=Neut,13,compound,_,Orig=śa[ta],_,sattvá-,13111,link
13,sahasrani,sahasra,NUM,_,Case=Acc|Number=Plur|NumType=Card|Gender=Masc,14,obj,_,Orig=sahas[r]ani,_,sahásra-,13307,link
14,arabhisu,arabha,VERB,_,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbFrom=Fin|Voice=Pass,0,root,_,Orig=[arabh]isu,kill.:ᴀᴏʀ.ᴘᴀss.3ᴘʟ,ā́rabʰatē,1305,link
15-16,supathraye,_,_,_,_,_,_,_,_,_,_,_,
15,supa ,supa,NOUN,_,Gender=Masc|Compound=Yes,14,obl,_,,soup,sū́pa-,13571,link
16,athraye,athra,ADP,_,Gender=Masc|Number=Sing|Case=Dat,15,case,_,Orig=a[thra]ye,for_the_sake_of,ártʰa-,638,link
,,,,,,,,,,,,,
text = s[e] ... [da] ayi dhrama-dipi likhi[ta] ta[da] ti[ni] y[eva] pra[ṇa]ni [ara]bh[iyaṃti] du[v]e maju/ra [e]k[e] m[r]ig[e] s[e] p[i cu] mrig[e] no dhruvam,,,,,,,,,,,,,
1,se,sa,CCONJ,_,_,11,cc,_,Orig=s[e],but,sá-,12815,link
2,da,yada,ADV,_,PronType=Rel,11,mark,_,Orig=[da],when,yadā́,10409,link
3,ayi,ayi,DET,_,PronType=Dem,5,det,_,,this:ɴᴏᴍ.ꜰ.sɢ,ayáṃ,587,link
4-5,dhrama-dipi,_,_,_,_,_,_,_,,rescript_on_morality:ɴᴏᴍ.ꜰ.sɢ,_,_,_
4,dhrama ,dhrama,NOUN,_,Compound=Yes|Gender=Masc,5,compound,_,,_,dʰárma-,6753,link
5,dipi,dipi,NOUN,_,Case=Nom|Gender=Fem|Number=Sing,6,obj,_,,_,lipi-,11058,link
6,likhita,likha,VERB,_,"Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Caus,Pass",11,advcl,_,Orig=likhi[ta],write:ᴘᴘᴘ:ɴᴏᴍ.ꜰ.sɢ,likʰitá,,_
7,tada,tada,ADV,_,PronType=Dem,11,advmod,_,Orig=ta[da],then,,,_
8,tini,tini,NUM,_,NumType=Card,10,nummod,_,Orig=ti[ni],3,trī́ṇi,5994,link
9,yeva,yeva,PART,_,_,8,advmod:emph,_,Orig=y[eva],=ᴇᴍᴘʜ,ēváṃ,2527,link
10,praṇani,praṇa,NOUN,_,Case=Nom|Gender=Masc|Number=Plur,11,obj,_,Orig=pra[ṇa]ni,animal:ɴᴏᴍ.ɴ.ᴘʟ,prāṇá-,8928,link
11,arabhiyaṃti,arabhiya,VERB,_,Mood=Ind|Number=Plur|Person=3|Tense=Present|VerbForm=Fin|Voice=Pass,0,root,_,Orig=[ara]bh[iyaṃti],kill.ᴘᴀss:ᴘʀs.3ᴘʟ,ā́rabʰatē,1305,link
12,duve,duva,NUM,_,Case=Nom|Gender=Masc|NumType=Card,13,nummod,_,Orig=du[v]e,2,*duva-,6648,link
13,majura,majura,NOUN,_,Case=Nom|Gender=Masc|Number=Plur,11,parataxis,_,,peacock:ɴᴏᴍ.ᴍ.ᴘʟ,*majjūra-,9865,link
14,eke,eka,NUM,_,Case=Nom|Gender=Masc|NumType=Card,15,nummod,_,Orig=[e]k[e],1,ḗka-,2462,link
15,mrige,mriga,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,13,conj,_,Orig=m[r]ig[e],deer:ɴᴏᴍ.ᴍ.sɢ,mr̩gá-,10264,link
16,se,sa,DET,_,PronType=Dem,19,det,_,Orig=s[e],this.ɴᴏᴍ.ᴍ.sɢ,sá-,12815,link
17,pi,pi,ADV,_,_,16,advmod:emph,_,Orig=p[i],=ᴇᴍᴘʜ,ápi,485,link
18,cu,cu,CCONJ,_,_,16,cc,_,Orig=[cu],=but,tú+ca,,_
19,mrige,mriga,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,13,conj,_,Orig=mrig[e],deer:ɴᴏᴍ.ᴍ.sɢ,mr̩gá-,10264,link
20,no,no,PART,_,Polarity=Neg,21,advmod,_,,ɴᴇɢ,ná,6906,link
21,dhruvam,dhruva,ADV,_,AdvType=Man,19,orphan,_,,regularly,dʰruvá-,6892,link
,,,,,,,,,,,,,
text = [e]tani pi cu [tini] praṇani paca no ara[bhi] ...,,,,,,,,,,,,,
1,etani,eta,DET,_,Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,4,det,_,Orig=[e]tani,these.ɴᴏᴍ.ᴍ.ᴘʟ,ēta-,2530,link
2,pi,pi,ADV,_,_,1,advmod:emph,_,,=ᴇᴍᴘʜ,ápi,485,link
3,cu,cu,CCONJ,_,_,1,cc,_,,=but,tú+ca,,_
4,tini,tini,NUM,_,Case=Nom|Gender=Masc|NumType=Card,4,nummod,_,Orig=[tini],3,trī́ṇi,5994,link
5,praṇani,praṇa,NOUN,_,Case=Acc|Gender=Masc|Number=Plural,8,obj,_,,animal:ɴᴏᴍ.ɴ.ᴘʟ,prāṇá-,8928,link
6,paca,paca,ADV,_,AdvType=Tim,7,advmod,_,,in_future,paścā́t,7999,link
7,no,no,PART,_,Polarity=Neg,7,advmod,_,,ɴᴇɢ,nṓ,7607,link
8,arabhi,arabha,VERB,_,Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Pass,0,root,_,Orig=ara[bhi],kill:ꜰᴜᴛ.ᴘᴀss.3ᴘʟ,ā́rabʰatē,1305,link
