ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
39,ca,ca,CCONJ,_,_,38,cc,_,Gloss=and,,,,_
40,pasu,pasu,NOUN,_,Gender=Masc|Compound=Yes,41,nmod,_,Gloss=cattle,,,,_
41,cikīchā,cīkicha,NOUN,_,Case=Acc|Gender=Masc|Number=Plur,38,conj,_,Gloss=medical-treatment,,,,_
42,ca,ca,CCONJ,_,_,41,cc,_,Gloss=and,,,,_
,,,,,,,,,,,,,
text = osuḍhāni ca yāni m[a]nusopagān[i] ca / paso[pa]gāni ca yata yata nāsti sarvatrā hārāpitāni ca ropāpitāni ca,,,,,,,,,,,,,
1,osuḍhāni,osuḍha,NOUN,,Case=Nom|Gender=Neut|Number=Plur,10,nsubj,,Gloss=herbs,,auṣadʰá-,2571,link
2,ca,ca,CCONJ,,_,1,cc,,Gloss=and,,ca,4533,link
3,yāni,ya,PRON,,PronType=Rel,10,nsubj:cop,,Gloss=that,,,,_
4-5,manusopagāni,_,_,_,_,_,_,_,_,,_,_,_
4,manusa,manusa,NOUN,,Compound=Yes|Gender=Masc,5,nmod,,Gloss=man|Orig=m[a]nuso,,manuṣyà-,9828,link
5,upagāni,upaga,ADJ,,Case=Nom|Number=Plur|Gender=Neut,1,acl:relcl,,Gloss=beneficial-to|Orig=pagān[i] ,,upaga-,2152,link
6,ca,ca,CCONJ,,_,5,cc,,Gloss=and,,ca,4533,link
7-8,pasopagāni,_,_,_,_,_,_,_,_,,_,_,_
7,pasu,pasu,NOUN,,Compound=Yes|Gender=Masc,8,nmod,,Gloss=cattle,,paśú-,7984,link
8,upagāni,upaga,ADJ,,Case=Nom|Number=Plur|Gender=Neut,5,conj,,Gloss=beneficial-to|Orig=[pa]gāni,,upaga-,2152,link
9,ca,ca,CCONJ,,_,8,cc,,Gloss=and,,ca,4533,link
10,yata,yata,SCONJ,,PronType=Rel,14,mark,,Gloss=where,,yátra,10405,link
11,yata,yata,SCONJ,,PronType=Rel,10,compound:redup,,Gloss=where,,yátra,10405,link
12,nāsti,nās,VERB,,,10,cop,,Gloss=are-no,,nā́sti,7091,link
13,sarvatrā,sarvatra,ADV,,AdvType=Loc,14,advmod:lmod,,Gloss=everywhere,,sarvátra-,13278,link
14,hārāpitāni,hārāpaya,VERB,,"Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,,Gloss=caused-to-be-imported,,hārayati,14061,link
15,ca,ca,CCONJ,,,14,cc,,Gloss=and,,ca,4533,link
16,ropāpitāni,ropāpaya,VERB,,"Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",14,conj,,Gloss=caused-to-be-planted,,rōpayati,10783,link
17,ca,ca,CCONJ,,,16,cc,,Gloss=and,,ca,4533,link
,,,,,,,,,,,,,
text = / mūlāni ca phalāni ca yata yatra nāsti sarvata hārāpitāni ca rop[ā]pitāni ca,,,,,,,,,,,,,
1,mūlāni,mūla,NOUN,_,Case=Nom|Gender=Neut|Number=Plur,7,nsubj,_,Gloss=roots,,,,_
2,ca,ca,CCONJ,_,_,1,cc,_,Gloss=and,,,,_
3,phalāni,phala,NOUN,_,Case=Nom|Gender=Neut|Number=Plur,1,conj,_,Gloss=fruits,,,,_
4,ca,ca,CCONJ,_,_,3,cc,_,Gloss=and,,,,_
5,yata,yata,SCONJ,_,PronType=Rel,7,mark,_,Gloss=where,,,,_
6,yatra,yatra,SCONJ,_,PronType=Rel,5,compound:redup,_,Gloss=where,,,,_
7,nāsti,nās,VERB,_,Mood=Ind|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,9,advcl,_,Gloss=were-not,,,,_
8,sarvata,sarvata,ADV,_,AdvType=Loc,9,advmod:lmod,_,Gloss=everywhere,,,,_
9,hārāpitāni,hārāpaya,VERB,_,"Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,_,Gloss=caused-to-be-imported,,,,_
10,ca,ca,CCONJ,_,_,9,cc,_,Gloss=and,,,,_
11,ropāpitāni,ropāpaya,VERB,_,"Case=Nom|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",9,conj,_,Gloss=caused-to-be-planted|Orig=rop[ā]pitāni,,,,_
12,ca,ca,CCONJ,_,,11,cc,_,Gloss=and,,,,_
,,,,,,,,,,,,,
text = / paṃthesū kūpā ca khānāpitā vrachā ca ropāpit[ā] paribhogāya pasumanusānaṃ,,,,,,,,,,,,,
1,paṃthesū,paṃtha,NOUN,_,Case=Loc|Gender=Masc|Number=Plur,4,obl:lmod,_,Gloss=on-the-roads,,,,_
2,kūpā,kūpa,NOUN,_,Case=Nom|Gender=Masc|Number=Plur,4,obj,_,Gloss=wells,,,,_
3,ca,ca,CCONJ,_,_,2,cc,_,Gloss=and,,,,_
4,khānāpitā,khānāpaya,VERB,_,"Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,_,Gloss=were-caused-to-be-dug,,,,_
5,vrachā,vracha,NOUN,_,Case=Nom|Gender=Masc|Number=Plur,7,obj,_,Gloss=trees,,,,_
6,ca,ca,CCONJ,_,_,5,cc,_,Gloss=and,,,,_
7,ropāpitā,ropāpaya,VERB,_,"Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Cau,Pass",4,conj,_,Gloss=caused-to-be-planted|Orig=ropāpit[ā],,,,_
8,paribhogāya,paribhoga,NOUN,_,Case=Dat|Gender=Masc|Number=Sing,7,obl,_,Gloss=for-the-use,,,,_
9-10,pasumanusānaṃ,_,_,_,_,_,_,_,_,,,,
9,pasu,_,NOUN,_,Compound=Yes|Gender=Masc,10,compound,_,Gloss=cattle,,,,_
10,manusānaṃ,manusa,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,8,nmod:poss,_,Gloss=of-men,,,,_
